subject,code
Foundation of algorithms,COMP10001
Foundation of computing,COMP10002
object-oriented software development,SWEN20003
Principles of genetics,GENE20001
Chemistry 2,CHEM10004
Linear algebra,MAST10007
Calculus 2,MAST10006
Probability for statistics,MAST20006
Probability,MAST20004
Database systems,INFO20003
Graphic and interaction,COMP30019
Introductory microeconomics,ECON10004
Accounting reports and analysis,ACCT10001
Principles of finance,FNCE10002
Organisational behaviour,MGMT20001
